iter	Passed	Remaining
0	141	141451
1	143	71729
2	145	48453
3	147	36806
4	149	29813
5	151	25165
6	154	21854
7	156	19359
8	158	17419
9	160	15862
10	162	14590
11	164	13526
12	166	12627
13	168	11860
14	170	11194
15	172	10610
16	174	10094
17	176	9634
18	178	9222
19	180	8852
20	182	8515
21	184	8213
22	186	7935
23	188	7680
24	190	7445
25	192	7229
26	195	7027
27	197	6839
28	199	6666
29	201	6503
30	203	6350
31	205	6205
32	207	6070
33	209	5943
34	211	5822
35	213	5730
36	216	5626
37	218	5523
38	220	5427
39	222	5335
40	224	5248
41	226	5164
42	228	5088
43	230	5011
44	232	4938
45	234	4868
46	236	4802
47	238	4737
48	240	4674
49	242	4616
50	245	4559
51	246	4502
52	249	4449
53	251	4397
54	252	4346
55	255	4298
56	257	4254
57	259	4209
58	261	4165
59	263	4121
60	265	4079
61	267	4039
62	269	4001
63	271	3964
64	273	3929
65	275	3893
66	277	3858
67	279	3825
68	281	3793
69	283	3762
70	285	3732
71	287	3702
72	289	3673
73	291	3645
74	293	3617
75	295	3590
76	297	3563
77	299	3538
78	301	3512
79	303	3489
80	305	3466
81	307	3442
82	309	3419
83	311	3397
84	313	3374
85	315	3353
86	317	3332
87	319	3311
88	321	3291
89	323	3271
90	325	3252
91	327	3233
92	329	3214
93	331	3196
94	333	3178
95	335	3161
96	337	3143
97	339	3127
98	341	3110
99	343	3094
100	345	3077
101	347	3062
102	349	3047
103	351	3032
104	353	3016
105	355	3001
106	357	2986
107	359	2972
108	361	2957
109	363	2943
110	365	2930
111	367	2916
112	369	2903
113	371	2889
114	373	2876
115	375	2863
116	377	2850
117	379	2838
118	381	2826
119	383	2814
120	385	2802
121	387	2790
122	389	2779
123	391	2768
124	393	2756
125	395	2746
126	397	2735
127	399	2724
128	401	2713
129	403	2702
130	405	2691
131	407	2680
132	409	2670
133	411	2660
134	413	2652
135	416	2643
136	418	2633
137	420	2624
138	422	2614
139	424	2605
140	426	2596
141	428	2587
142	430	2577
143	432	2568
144	434	2559
145	436	2550
146	438	2542
147	440	2533
148	442	2524
149	444	2516
150	446	2507
151	448	2499
152	449	2491
153	452	2483
154	454	2475
155	456	2467
